id,title,year,parental_guid,runtime,storyline,gross_us_canada,movie_id,parental_guide
,The Shawshank Redemption,1994,,142,"Chronicles the experiences of a formerly successful banker as a prisoner in the gloomy jailhouse of Shawshank after being found guilty of a crime he did not commit. The film portrays the man&#39;s unique way of dealing with his new, torturous life; along the way he befriends a number of fellow prisoners, most notably a wise long-term inmate named Red.","$28,767,189",tt0111161,R
,The Godfather,1972,,175,"The Godfather &quot;Don&quot; Vito Corleone is the head of the Corleone mafia family in New York. He is at the event of his daughter&#39;s wedding. Michael, Vito&#39;s youngest son and a decorated WW II Marine is also present at the wedding. Michael seems to be uninterested in being a part of the family business. Vito is a powerful man, and is kind to all those who give him respect but is ruthless against those who do not. But when a powerful and treacherous rival wants to sell drugs and needs the Don&#39;s influence for the same, Vito refuses to do it. What follows is a clash between Vito&#39;s fading old values and the new ways which may cause Michael to do the thing he was most reluctant in doing and wage a mob war against all the other mafia families which could tear the Corleone family apart.","$136,381,073",tt0068646,R
,The Dark Knight,2008,,152,"Set within a year after the events of Batman Begins (2005), Batman, Lieutenant James Gordon, and new District Attorney Harvey Dent successfully begin to round up the criminals that plague Gotham City, until a mysterious and sadistic criminal mastermind known only as &quot;The Joker&quot; appears in Gotham, creating a new wave of chaos. Batman&#39;s struggle against The Joker becomes deeply personal, forcing him to &quot;confront everything he believes&quot; and improve his technology to stop him. A love triangle develops between Bruce Wayne, Dent, and Rachel Dawes.","$534,987,076",tt0468569,PG-13
,The Godfather Part II,1974,,202,"The continuing saga of the Corleone crime family tells the story of a young Vito Corleone growing up in Sicily and in 1910s New York; and follows Michael Corleone in the 1950s as he attempts to expand the family business into Las Vegas, Hollywood and Cuba.","$47,834,595",tt0071562,R
,12 Angry Men,1957,,96,"The defense and the prosecution have rested, and the jury is filing into the jury room to decide if a young man is guilty or innocent of murdering his father. What begins as an open-and-shut case of murder soon becomes a detective story that presents a succession of clues creating doubt, and a mini-drama of each of the jurors&#39; prejudices and preconceptions about the trial, the accused, AND each other. Based on the play, all of the action takes place on the stage of the jury room.",Nan,tt0050083,Approved
,Schindler's List,1993,,195,"Oskar Schindler is a vain and greedy German businessman who becomes an unlikely humanitarian amid the barbaric German Nazi reign when he feels compelled to turn his factory into a refuge for Jews. Based on the true story of Oskar Schindler who managed to save about 1100 Jews from being gassed at the Auschwitz concentration camp, it is a testament to the good in all of us.","$96,898,818",tt0108052,R
,The Lord of the Rings: The Return of the King,2003,,201,"The final confrontation between the forces of good and evil fighting for control of the future of Middle-earth. Frodo and Sam reach Mordor in their quest to destroy the One Ring, while Aragorn leads the forces of good against Sauron&#39;s evil army at the stone city of Minas Tirith.","$379,427,292",tt0167260,PG-13
,Pulp Fiction,1994,,154,"Jules Winnfield (<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000168/"">Samuel L. Jackson</a>) and Vincent Vega (<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000237/"">John Travolta</a>) are two hit men who are out to retrieve a suitcase stolen from their employer, mob boss Marsellus Wallace (<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000609/"">Ving Rhames</a>). Wallace has also asked Vincent to take his wife Mia (<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000235/"">Uma Thurman</a>) out a few days later when Wallace himself will be out of town. Butch Coolidge (<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000246/"">Bruce Willis</a>) is an aging boxer who is paid by Wallace to lose his fight. The lives of these seemingly unrelated people are woven together comprising of a series of funny, bizarre and uncalled-for incidents.","$107,928,762",tt0110912,R
,The Lord of the Rings: The Fellowship of the Ring,2001,,178,"An ancient Ring thought lost for centuries has been found, and through a strange twist of fate has been given to a small Hobbit named Frodo. When Gandalf discovers the Ring is in fact the One Ring of the Dark Lord Sauron, Frodo must make an epic quest to the Cracks of Doom in order to destroy it. However, he does not go alone. He is joined by Gandalf, Legolas the elf, Gimli the Dwarf, Aragorn, Boromir, and his three Hobbit friends Merry, Pippin, and Samwise. Through mountains, snow, darkness, forests, rivers and plains, facing evil and danger at every corner the Fellowship of the Ring must go. Their quest to destroy the One Ring is the only hope for the end of the Dark Lords reign.","$316,115,420",tt0120737,PG-13
,"Il buono, il brutto, il cattivo",1966,,161,"Blondie, The Good (Clint Eastwood), is a professional gunslinger who is out trying to earn a few dollars. Angel Eyes, The Bad (Lee Van Cleef), is a hitman who always commits to a task and sees it through--as long as he&#39;s paid to do so. And Tuco, The Ugly (Eli Wallach), is a wanted outlaw trying to take care of his own hide. Tuco and Blondie share a partnership making money off of Tuco&#39;s bounty, but when Blondie unties the partnership, Tuco tries to hunt down Blondie. When Blondie and Tuco come across a horse carriage loaded with dead bodies, they soon learn from the only survivor, Bill Carson (Antonio Casale), that he and a few other men have buried a stash of gold in a cemetery. Unfortunately, Carson dies and Tuco only finds out the name of the cemetery, while Blondie finds out the name on the grave. Now the two must keep each other alive in order to find the gold. Angel Eyes (who had been looking for Bill Carson) discovers that Tuco and Blondie met with Carson and knows they know where the gold is; now he needs them to lead him to it. Now The Good, the Bad, and the Ugly must all battle it out to get their hands on $200,000.00 worth of gold.","$25,100,000",tt0060196,Approved
,Forrest Gump,1994,,142,"Forrest Gump is a simple man with a low I.Q. but good intentions. He is running through childhood with his best and only friend Jenny. His &#39;mama&#39; teaches him the ways of life and leaves him to choose his destiny. Forrest joins the army for service in Vietnam, finding new friends called Dan and Bubba, he wins medals, creates a famous shrimp fishing fleet, inspires people to jog, starts a ping-pong craze, creates the smiley, writes bumper stickers and songs, donates to people and meets the president several times. However, this is all irrelevant to Forrest who can only think of his childhood sweetheart Jenny Curran, who has messed up her life. Although in the end all he wants to prove is that anyone can love anyone.","$330,455,270",tt0109830,PG-13
